id;code;title;group;level
1;П1.1;Базовый протокол «Распределение внимания учителя»;Распределение внимания учителя;1
3;П1.2;Усложненный протокол «Распределение внимания учителя»;Распределение внимания учителя;2
2;П1.3;Прицельный протокол «Распределение внимания учителя»;Распределение внимания учителя;3
4;П2.1;Базовый протокол «Время на размышление»;Время на размышление;1
6;П2.2;Усложненный протокол «Время на размышление»;Время на размышление;2
5;П2.3;Прицельный протокол «Время на размышление»;Время на размышление;3
7;П3.1;Базовый протокол «Тип вопросов»;Тип вопросов;1
9;П3.2;Усложненный протокол «Тип вопросов»;Тип вопросов;2
8;П3.3;Прицельный протокол «Тип вопросов»;Тип вопросов;3
10;П4.1;Базовый протокол «Качество обратной связи»;Качество обратной связи;1
12;П4.2;Усложненный протокол «Качество обратной связи»;Качество обратной связи;2
11;П4.3;Прицельный протокол «Качество обратной связи»;Качество обратной связи;3
13;П5.1;Базовый протокол «Время речи учеников»;Время речи учеников;1
15;П5.2;Усложненный протокол «Время речи учеников»;Время речи учеников;2
14;П5.3;Прицельный протокол «Время речи учеников»;Время речи учеников;3
16;П6.1;Базовый протокол «Правила речи»;Правила речи;1
18;П6.2;Усложненный протокол «Правила речи»;Правила речи;2
17;П6.3;Прицельный протокол «Правила речи»;Правила речи;3
19;П7.1;Базовый протокол «Время речи педагога»;Время речи педагога;1