;teacher_id;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;pupils_mean;satisfaction;wish_to_change;interval_mean;interval_std;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m
131;707;108.0;13;4;4;5;1;1;12;23.46;;;7.0;16.0;0.77;0.5;0.33;;;0.53;0.32;;-0.02;
132;708;108.0;13;4;4;5;1;1;12;23.69;;;7.0;14.0;0.73;0.5;0.33;;;0.5;0.32;;-0.0;
133;710;108.0;6;2;2;2;1;1;6;25.67;;;15.0;6.0;0.75;0.6;0.37;0.62;0.38;0.64;0.36;-0.03;-0.04;0.04
134;711;108.0;6;2;2;2;1;1;6;26.0;;;15.0;6.0;0.57;0.43;0.38;0.48;0.28;0.44;0.39;-0.1;-0.01;-0.01
135;714;110.0;5;1;2;2;1;1;5;18.6;;;19.0;19.0;1.0;0.56;0.31;;;0.56;0.31;;0.0;
136;715;110.0;3;1;1;1;1;1;3;22.0;;;28.0;21.0;0.97;0.61;0.38;;;0.64;0.37;;-0.03;
137;717;110.0;5;2;2;1;1;1;5;16.0;;;17.0;12.0;0.62;0.36;0.38;0.35;0.39;0.36;0.39;0.07;0.0;0.07
138;718;110.0;4;2;1;1;1;1;4;21.5;;;16.0;12.0;0.37;0.58;0.38;0.31;0.42;0.37;0.38;0.19;0.21;0.12
139;719;132.0;9;1;4;4;1;1;7;4.0;;;12.0;5.0;1.0;0.88;0.22;;;0.88;0.22;;0.0;
140;721;132.0;8;1;4;3;1;1;6;2.0;;;14.0;7.0;1.0;0.54;0.04;;;0.54;0.04;;0.0;
141;725;133.0;7;5;2;0;1;1;6;10.57;;;18.0;17.0;0.83;0.56;0.4;;;0.67;0.31;;-0.1;
142;726;133.0;7;4;1;2;1;1;4;10.0;;;17.0;15.0;0.95;0.57;0.36;;;0.59;0.34;;-0.03;
143;728;133.0;7;2;3;2;1;1;7;11.29;;;15.0;18.0;0.79;0.52;0.35;;;0.56;0.35;;-0.03;
144;729;133.0;7;5;1;1;1;1;4;10.57;;;15.0;15.0;0.92;0.53;0.28;0.63;0.4;0.53;0.28;-0.1;0.0;-0.1
145;732;128.0;7;3;2;2;1;1;7;8.57;;;15.0;12.0;1.0;0.31;0.37;0.28;0.34;0.32;0.36;0.03;-0.01;0.03
146;733;128.0;7;3;2;2;1;1;7;8.71;;;15.0;11.0;1.0;0.33;0.38;0.33;0.37;0.34;0.37;0.02;-0.01;0.02
147;735;128.0;16;6;5;5;1;1;16;9.56;;;7.0;4.0;0.84;0.63;0.34;;;0.69;0.3;;-0.06;
148;736;128.0;16;6;6;4;1;1;16;6.81;;;7.0;4.0;0.84;0.34;0.44;;;0.42;0.44;;-0.08;
149;738;128.0;3;0;0;3;1;1;3;9.0;;;13.0;8.0;0.97;0.53;0.37;0.52;0.39;0.55;0.36;0.08;-0.02;0.08
150;739;128.0;3;0;0;3;1;1;3;10.33;;;14.0;4.0;0.97;0.6;0.39;0.57;0.43;0.62;0.38;0.03;-0.02;0.03
151;741;128.0;1;0;0;1;1;1;1;5.0;;;;;;0.7;0.4;0.79;0.36;;;-0.09;;
152;742;128.0;1;0;0;1;1;1;1;11.0;;;;;;0.55;0.4;;;;;;;
153;744;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
154;745;131.0;7;2;3;2;1;1;7;6.14;;;15.0;9.0;1.0;0.54;0.38;;;0.54;0.38;;0.0;
155;746;131.0;7;4;3;0;1;1;7;8.0;;;14.0;12.0;1.0;0.54;0.4;;;0.54;0.4;;0.0;
156;748;131.0;8;2;4;2;1;1;8;6.12;;;13.0;11.0;1.0;0.51;0.42;;;0.51;0.42;;0.0;
157;749;131.0;6;3;3;0;1;1;6;6.83;;;13.0;6.0;0.97;0.52;0.39;;;0.55;0.38;;-0.03;
158;752;129.0;9;3;2;4;1;1;8;10.11;;;10.0;4.0;0.94;0.4;0.39;;;0.39;0.39;;0.02;
159;753;129.0;9;3;2;4;1;1;8;9.67;;;10.0;4.0;0.9;0.39;0.37;;;0.4;0.38;;-0.01;
160;755;129.0;9;3;3;3;1;1;9;12.0;;;11.0;9.0;0.86;0.52;0.42;0.69;0.35;0.56;0.39;-0.14;-0.05;
161;756;129.0;9;3;3;3;1;1;9;10.44;;;11.0;6.0;0.88;0.53;0.4;0.57;0.38;0.62;0.36;-0.12;-0.05;
162;758;129.0;9;4;3;2;1;1;8;10.78;;;11.0;10.0;0.98;0.46;0.39;0.48;0.39;0.47;0.38;0.0;-0.02;
163;759;129.0;8;4;2;2;1;1;7;9.25;;;12.0;9.0;0.97;0.6;0.41;0.64;0.4;0.6;0.4;0.0;-0.03;
164;762;130.0;6;1;2;3;1;1;6;5.0;;;19.0;9.0;0.97;0.58;0.38;0.5;0.35;0.56;0.38;-0.1;0.02;-0.1
165;763;130.0;3;0;2;1;1;1;3;5.0;;;31.0;14.0;1.0;0.53;0.32;;;0.53;0.32;;0.0;
166;765;130.0;4;1;1;2;1;1;4;4.25;;;23.0;10.0;1.0;0.4;0.37;;;0.4;0.37;;0.0;
167;766;130.0;4;0;3;1;1;1;3;4.5;;;33.0;14.0;1.0;0.35;0.29;0.56;0.39;0.3;0.24;-0.06;0.0;
168;770;117.0;6;1;1;4;1;1;5;14.0;;;19.0;12.0;0.67;0.51;0.36;;;0.51;0.37;;-0.0;
169;771;117.0;6;1;1;4;1;1;5;24.5;;;19.0;11.0;0.56;0.46;0.32;;;0.52;0.35;;-0.05;
170;772;117.0;6;1;4;1;1;1;5;19.83;;;18.0;15.0;0.87;0.48;0.38;;;0.49;0.38;;-0.0;
171;774;117.0;6;1;3;2;1;1;6;12.17;;;18.0;16.0;0.94;0.54;0.35;;;0.54;0.35;;0.0;
172;781;112.0;5;0;0;5;1;1;3;28.0;;;19.0;10.0;0.75;0.54;0.34;0.44;0.33;0.55;0.35;0.08;-0.0;0.04
173;782;112.0;4;2;0;2;1;1;4;28.0;;;15.0;0.0;0.68;0.52;0.33;;;0.62;0.31;;-0.1;
174;783;112.0;4;4;0;0;1;1;4;22.0;;;19.0;11.0;0.66;;;;;;;;;
175;784;112.0;4;4;0;0;1;1;4;26.5;;;16.0;16.0;0.65;;;;;;;;;
176;785;112.0;5;3;1;1;1;1;5;27.8;;;11.0;8.0;0.74;0.47;0.37;0.48;0.39;0.54;0.36;-0.03;-0.08;0.07
177;786;112.0;4;2;1;1;1;1;4;27.75;;;14.0;7.0;0.59;0.41;0.35;0.5;0.37;0.56;0.35;-0.09;-0.15;0.07
178;787;112.0;5;3;0;2;1;1;4;25.6;;;20.0;11.0;0.54;0.54;0.37;;;0.63;0.33;;-0.09;
179;788;112.0;4;2;0;2;1;1;4;26.5;;;26.0;16.0;0.62;0.58;0.32;;;0.61;0.32;;-0.03;
180;795;111.0;9;2;4;3;1;1;8;21.33;;;10.0;5.0;0.96;0.6;0.31;;;0.61;0.3;;-0.01;
181;796;111.0;9;2;4;3;1;1;8;19.44;;;10.0;5.0;0.96;0.53;0.39;;;0.55;0.39;;-0.01;
182;797;111.0;10;2;4;4;1;1;10;18.5;;;8.0;2.0;0.83;0.48;0.36;0.42;0.33;0.48;0.36;0.04;0.01;0.01
183;798;111.0;10;2;4;4;1;1;10;23.8;;;8.0;2.0;0.8;0.5;0.29;0.49;0.28;0.46;0.3;0.0;0.05;0.0
184;799;111.0;6;2;3;1;1;1;6;19.83;;;17.0;18.0;0.79;0.44;0.4;;;0.54;0.39;;-0.1;
185;800;111.0;7;2;3;2;1;1;7;15.14;;;14.0;13.0;0.9;0.43;0.38;;;0.47;0.4;;-0.03;
186;801;111.0;12;3;5;4;1;1;10;20.67;;;9.0;5.0;0.66;0.49;0.38;;;0.54;0.36;;-0.05;
187;802;111.0;12;3;5;4;1;1;10;20.75;;;9.0;5.0;0.66;0.5;0.37;;;0.52;0.38;;-0.02;
188;804;103.0;2;1;0;1;1;1;2;9.0;;;28.0;;1.0;0.56;0.37;;;0.56;0.37;;0.0;
189;805;103.0;4;1;2;1;1;1;3;7.75;;;9.0;10.0;1.0;0.73;0.28;;;0.73;0.28;;0.0;
190;807;103.0;4;0;3;1;1;1;4;10.0;;;26.0;15.0;0.9;0.35;0.4;0.52;0.43;0.35;0.4;-0.07;-0.04;
191;808;103.0;4;0;3;1;1;1;4;6.75;;;27.0;19.0;1.0;0.57;0.36;0.8;0.33;0.54;0.34;-0.18;0.01;
192;812;115.0;6;1;3;2;1;1;6;10.83;;;17.0;15.0;1.0;0.62;0.41;0.64;0.44;0.66;0.4;-0.14;0.0;
193;813;115.0;6;1;3;2;1;1;6;10.0;;;16.0;13.0;1.0;0.53;0.41;0.6;0.37;0.53;0.41;-0.1;0.0;
194;816;116.0;3;2;1;0;1;1;3;7.33;;;38.0;15.0;1.0;0.61;0.31;0.55;0.32;;;0.06;;
195;817;116.0;4;2;2;0;1;1;3;9.25;;;25.0;5.0;1.0;0.61;0.35;0.55;0.32;0.61;0.39;0.06;0.0;
196;818;114.0;8;2;3;3;1;1;8;2.5;;;8.0;7.0;1.0;0.5;0.0;;;0.5;0.0;;0.0;
197;820;114.0;9;2;3;4;1;1;9;2.67;;;7.0;5.0;1.0;0.62;0.03;;;0.62;0.03;;0.0;
198;821;114.0;9;2;3;4;1;1;9;3.67;;;7.0;5.0;1.0;0.49;0.35;;;0.49;0.35;;0.0;
199;823;114.0;8;2;3;3;1;1;8;2.5;;;8.0;7.0;1.0;0.43;0.08;;;0.43;0.08;;0.0;
200;826;113.0;14;5;4;5;2;1;14;7.79;;;8.0;5.0;0.98;0.43;0.37;;;0.43;0.37;;0.0;
201;827;113.0;13;5;4;4;1;1;13;10.92;;;8.0;5.0;0.97;0.51;0.43;;;0.51;0.43;;0.0;
202;829;113.0;15;5;5;5;1;1;15;9.0;;;6.0;6.0;1.0;0.62;0.39;;;0.62;0.39;;0.0;
203;830;113.0;14;5;5;4;1;1;14;5.0;;;6.0;6.0;1.0;0.4;0.2;;;0.4;0.2;;0.0;
204;835;123.0;6;3;3;0;1;1;6;9.67;;;10.0;15.0;0.9;0.52;0.33;;;0.47;0.34;;0.05;
205;836;123.0;8;4;4;0;1;1;8;14.75;;;9.0;12.0;0.99;0.53;0.38;;;0.53;0.38;;0.0;
206;838;123.0;8;4;4;0;1;1;8;10.5;;;7.0;7.0;0.94;0.5;0.32;;;0.55;0.3;;-0.05;
207;839;123.0;8;4;4;0;1;1;8;8.25;;;7.0;6.0;0.87;0.3;0.27;;;0.36;0.21;;-0.06;
208;841;125.0;3;0;2;1;1;1;3;13.0;;;39.0;8.0;1.0;0.5;0.39;0.55;0.42;0.48;0.4;-0.05;0.02;
209;842;125.0;3;0;2;1;1;1;3;16.0;;;39.0;4.0;0.72;0.61;0.35;0.62;0.34;0.58;0.36;-0.04;0.04;
210;844;125.0;7;3;3;1;1;1;6;12.86;;;12.0;7.0;0.91;0.43;0.35;0.44;0.39;0.44;0.33;-0.01;-0.01;-0.01
211;845;125.0;2;1;1;0;1;1;2;14.0;;;23.0;;1.0;0.61;0.28;0.59;0.24;0.61;0.28;0.02;0.0;0.02
212;849;119.0;4;2;1;1;1;1;3;21.0;;;30.0;15.0;0.86;0.58;0.34;0.57;0.35;0.58;0.35;0.0;0.01;0.0
213;850;119.0;3;1;1;1;1;1;3;21.67;;;48.0;1.0;1.0;0.58;0.34;0.57;0.35;0.58;0.34;0.0;0.0;0.0
214;852;119.0;3;3;0;0;1;1;2;22.33;;;46.0;56.0;0.42;;;;;;;;;
215;853;119.0;2;2;0;0;1;1;2;22.5;;;90.0;;0.4;;;;;;;;;
216;855;119.0;6;0;2;4;1;1;4;11.67;;;19.0;16.0;1.0;0.33;0.4;0.23;0.33;0.32;0.39;-0.04;0.0;-0.04
217;856;119.0;5;0;2;3;1;1;4;15.6;;;24.0;15.0;0.57;0.37;0.33;0.59;0.36;0.46;0.33;-0.01;-0.08;0.02
218;857;119.0;2;1;1;0;1;1;2;16.0;;;8.0;;0.59;0.61;0.36;0.6;0.37;0.64;0.37;0.01;-0.03;0.04
219;858;119.0;2;1;1;0;1;1;2;9.5;;;7.0;;0.78;0.61;0.39;0.5;0.42;0.5;0.45;0.11;0.11;0.0
220;861;119.0;7;3;3;1;1;1;7;17.43;;;16.0;14.0;0.68;0.42;0.36;;;0.49;0.36;;-0.06;
221;862;119.0;6;2;3;1;1;1;6;21.83;;;17.0;15.0;0.57;0.36;0.3;;;0.43;0.34;;-0.06;
222;866;118.0;1;0;0;1;1;1;1;24.0;;;;;0.54;0.52;0.34;;;0.65;0.36;;-0.13;
223;867;118.0;1;0;0;1;1;1;1;25.0;;;;;1.0;0.54;0.31;;;0.54;0.31;;0.0;
224;869;118.0;2;0;0;2;1;1;1;21.0;;;20.0;;0.33;0.52;0.32;;;0.54;0.43;;-0.01;
225;870;118.0;2;0;0;2;1;1;1;21.0;;;20.0;;0.83;0.54;0.35;;;0.55;0.35;;-0.01;
226;872;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
227;873;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
228;875;118.0;9;2;4;3;1;1;9;12.0;;;10.0;6.0;0.95;0.63;0.42;;;0.66;0.41;;-0.03;
229;876;118.0;8;1;3;4;1;1;7;20.88;;;12.0;5.0;0.89;0.64;0.38;;;0.69;0.35;;-0.06;
230;878;118.0;2;1;1;0;1;1;2;9.0;;;12.0;;0.94;0.45;0.35;;;0.45;0.35;;0.0;
231;879;118.0;2;1;1;0;1;1;2;18.5;;;12.0;;0.77;0.4;0.34;;;0.33;0.37;;0.07;
232;883;120.0;5;2;2;1;1;1;5;21.6;;;22.0;14.0;0.96;0.48;0.36;0.42;0.37;0.48;0.36;0.14;0.0;0.14
233;884;120.0;5;2;2;1;1;1;5;24.0;;;22.0;15.0;0.97;0.44;0.35;0.48;0.35;0.44;0.35;0.01;0.0;0.01
234;886;120.0;6;2;2;2;1;1;6;20.83;;;17.0;6.0;0.9;0.78;0.27;0.75;0.29;0.77;0.27;0.02;0.01;0.0
235;887;120.0;6;2;2;2;1;1;6;16.67;;;17.0;4.0;0.84;0.52;0.38;0.57;0.35;0.55;0.37;-0.01;-0.04;0.04
236;889;120.0;6;3;3;0;1;1;6;17.0;;;20.0;13.0;0.81;0.5;0.32;0.53;0.32;0.5;0.32;-0.03;0.0;0.02
237;890;120.0;5;3;2;0;1;1;5;25.2;;;24.0;12.0;0.5;0.54;0.41;0.64;0.34;0.53;0.41;-0.1;-0.03;0.05
238;891;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
239;895;126.0;8;3;3;2;1;1;8;18.12;;;9.0;6.0;0.86;0.43;0.41;;;0.52;0.38;;-0.09;
240;896;126.0;10;3;4;3;1;1;10;20.0;;;8.0;5.0;0.9;0.62;0.35;;;0.64;0.35;;-0.02;
241;897;126.0;11;3;4;4;1;1;11;8.0;;;8.0;2.0;0.96;0.78;0.25;;;0.8;0.25;;-0.02;
242;898;126.0;11;3;4;4;1;1;11;13.0;;;9.0;3.0;0.88;0.62;0.4;;;0.67;0.36;;-0.05;
243;899;126.0;6;1;2;3;2;1;6;11.67;;;8.0;7.0;0.95;0.74;0.35;;;0.74;0.36;;0.0;
244;900;126.0;7;1;3;3;1;1;7;16.14;;;12.0;9.0;0.96;0.65;0.41;;;0.7;0.39;;-0.04;
245;903;121.0;7;2;2;3;1;1;7;17.86;;;7.0;7.0;0.9;0.45;0.4;;;0.51;0.39;;-0.06;
246;904;121.0;4;2;1;1;1;1;4;8.0;;;14.0;9.0;1.0;0.41;0.35;;;0.41;0.35;;0.0;
247;905;121.0;12;4;4;4;1;1;12;13.75;;;9.0;6.0;0.68;0.55;0.36;;;0.66;0.36;;-0.11;
248;906;121.0;15;5;5;5;2;1;15;10.47;;;6.0;9.0;0.7;0.4;0.37;;;0.48;0.39;;-0.09;
249;907;121.0;7;3;0;4;1;1;7;9.57;;;11.0;9.0;0.67;0.48;0.4;;;0.6;0.37;;-0.12;
250;908;121.0;5;1;4;0;1;1;5;10.2;;;15.0;10.0;0.72;0.51;0.4;;;0.6;0.37;;-0.1;
251;914;124.0;10;1;4;5;1;1;9;6.8;;;9.0;5.0;1.0;0.1;0.18;0.2;0.24;0.1;0.18;-0.0;0.0;-0.0
252;915;124.0;9;1;4;4;1;1;9;6.89;;;10.0;7.0;0.99;0.11;0.2;0.22;0.35;0.11;0.2;0.05;-0.0;0.05
253;916;124.0;9;1;3;5;1;1;8;5.78;;;11.0;5.0;1.0;0.5;0.42;0.41;0.4;0.5;0.42;0.09;0.0;0.09
254;917;124.0;9;1;3;5;1;1;8;3.33;;;11.0;7.0;1.0;0.65;0.36;0.42;0.45;0.65;0.36;0.06;0.0;0.06
255;921;122.0;5;1;1;3;1;1;4;9.0;;;26.0;11.0;1.0;0.49;0.34;0.46;0.36;0.5;0.33;0.01;0.0;
256;922;122.0;6;1;1;4;1;1;5;9.0;;;17.0;14.0;0.89;0.48;0.38;0.57;0.39;0.46;0.36;-0.07;0.0;
257;924;122.0;2;2;0;0;1;1;2;7.5;;;6.0;;1.0;;;;;;;;;
258;925;122.0;6;6;0;0;1;1;4;9.67;;;14.0;27.0;1.0;;;;;;;;;
259;928;127.0;10;3;3;4;1;1;9;3.0;;;8.0;2.0;1.0;0.67;0.24;0.67;0.23;0.67;0.24;0.0;0.0;0.0
260;929;127.0;10;3;4;3;1;1;9;6.9;;;8.0;2.0;1.0;0.51;0.37;0.5;0.38;0.51;0.37;-0.0;0.0;-0.0
261;932;125.0;4;2;2;0;1;1;4;14.25;;;14.0;15.0;0.93;0.45;0.37;;;0.5;0.36;;-0.05;
262;935;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
263;936;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
264;937;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
265;938;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
266;939;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
267;940;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
268;941;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
269;942;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
270;943;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
271;945;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
272;946;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
273;947;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
274;949;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
275;950;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
276;951;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
277;953;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
278;954;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
279;955;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
280;959;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
281;970;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
